Title,Description,Link,Location,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Cadastre no.,Energy mark,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Data from realestate book,Register number,Notify about incorrect advertisement,Kulud suvel/talvel,Number of floors,Additional information
"Apartment for sale, 3 rooms, Siili tn 7b, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kortersiili-tanaval-on-muuki-tulnud-3toaline-renov-3388614.html,"59.4086341,24.7073914",3,68 m²,1/7,1988,renovated,apartment ownership,,G,"parking free parking, wall cupboard, separate rooms, packet windows, parquet, box-room","gas stove, kitchen furniture","shower, toilet room and bathroom separate, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads",,,,100 € /  180 €,,
"Apartment for sale, 2 rooms, Räpina mnt 1, Verioramõisa, Räpina vald, Põlvamaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/muua-avar-2toaline-ahikuttega-korter-rahulikus-ver-3381820.html,"58.0972472,27.464769",2,44.6 m²,,1957,satisfactory,apartment ownership,,-,"wall cupboard, high ceilings, separate rooms, furniture, packet windows, parquet, parking free parking, box-room","gas stove, refridgerator, kitchen furniture",,stove heating,,"surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours, Veriora järv lake",Data from realestate book,,,,2,
"Apartment for sale, 3 rooms, Mai 28, Mai, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kolmetoaline-korter-asub-renoveeritud-170e-korteri-3375787.html,"58.366397167649,24.546341495223",3,62.3 m²,1/5,1983,ready,apartment ownership,62513:175:7680,Missing,"parking free parking, sewerage, urban water",,,central heating,,roads paved roads,,,,,,
"Apartment for sale, 2 rooms, Uus-Sauga tn 38a, Ülejõe, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-esimesel-korrusel-39-9-m2-suurune-nurgakorter-3388586.html,"58.3959039,24.4765812",2,39.9 m²,1/4,1970,Good condition,apartment ownership,62502:014:7380,Missing,"packet windows, parquet, parking free parking, wall cupboard, TV-set, separate rooms, furniture","induktsioon pliit, open kitchen, refridgerator, kitchen furniture","bath, washing machine",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, in the city location, roads in good condition roads, neighbours around neighbours, Pärnu river 500 m",,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, P. Pinna tn 3, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/muua-hea-asukohaga-lasnamae-1toaline-korter-korter-3388407.html,"59.4362752,24.8349331",1,35.9 m²,4/5,1980,Good condition,,78403:311:1150,-,"box-room, wall cupboard, TV-set, furniture, packet windows, parquet","ceramic shove, refridgerator, kitchen furniture","bath, shower, washing machine",central heating,"Internet, cable TV",Lasnamäe karjäär lake,,,,50 € /  100 €,,
"Apartment for sale, 2 rooms, Keemikute tn 32, Maardu, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muuki-on-tulnud-2toaline-korter-korter-ja-planeeri-3388604.html,"59.481545,25.0174057",2,36 m²,1/3,1960,,apartment ownership,44603:003:0094,Missing,,,,central heating,,,Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Tiigi tn 7, Jüri, Rae vald, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/muua-3toaline-korter-juris-rae-vallas-tiigi-7-kort-3388597.html,"59.35279,24.891784",3,59.1 m²,2/4,2005,Good condition,apartment ownership,65301:003:0329,D,"balcony 3 m², closed balcony, public transport, box-room, separate entryway, basement, dressing room, separate rooms, furniture, packet windows, parquet, parking free parking, distance from Tallinn 14 km","electric stove, open kitchen, refridgerator, kitchen furniture","toilet room and bathroom separate, shower, washing machine","heated floors, central heating","Internet, phone, frontdoor locked, steel door",,,,,,,
"Apartment for sale, 2 rooms, Sõle tn, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-pelgulinnas-sole-tanaval-2toaline-korter-tee-3388596.html,"59.434561,24.712428",2,47 m²,4/5,1967,needs renovating,apartment ownership,78408:803:6130,E,"liquid fuel, separate rooms, furnishing possibility, furniture, packet windows, parquet, new electricity, basement, parking free parking, public transport, dressing room, box-room, separate entryway","gas stove, refridgerator, kitchen furniture","new sewerage, shower, toilet room and bathroom separate, bath, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked",,,,,,,
"Apartment for sale, 1 rooms, Paide tn 10, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/muugile-on-tulnud-kaunis-renoveeritud-1toaline-kor-3388595.html,"59.416108,24.742583",1,26.5 m²,1/2,1946,renovated,apartment ownership,78401:118:2260,E,"public transport, furnishing possibility, packet windows, parquet, parking free parking","electric stove, open kitchen, refridgerator, kitchen furniture","water boiler, shower","electric heating, fireplace","steel door, neighbourhood watch",,,,,,,
"Apartment for sale, 3 rooms, Vanakuu tn 11, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-3toaline-korter-vaiksemas-uues-kortermajas-ma-3388594.html,"59.430176,24.617279",3,67.9 m²,4/4,2019,all brand-new,apartment ownership,78406:606:0033,Missing,"balcony 2 m², parking free parking, separate rooms, box-room, dressing room, public transport, furnishing possibility, furniture, packet windows, parquet","electric stove, open kitchen, refridgerator, kitchen furniture","shower, new sewerage, washing machine","heated floors, gas heating","Internet, frontdoor locked",,,,,,,
"Apartment for sale, 3 rooms, Kotka tn 6, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuugile-on-tulnud-ilus-skandinaavia-stiilis-3380232.html,"59.422158,24.7279609",3,48.3 m²,3/4,1963,renovated,apartment ownership,78407:701:8321,F,"parking free parking, separate rooms, furnishing possibility, furniture, packet windows, parquet, wall cupboard, new electricity, closed courtyard","electric stove, open kitchen, refridgerator, kitchen furniture","shower, new sewerage, washing machine","central heating, heated floors","Internet, phone, steel door, frontdoor locked","surrounding buildings apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours",,,,,,
"Apartment for sale, 3 rooms, Mahlamäe tn 4, Rapla linn, Rapla vald, Raplamaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korterpalun-votke-uhendust-otse-omanikuga-5254552-3388584.html,"58.9988846,24.7931391",3,47 m²,1/5,1975,renovated,apartment ownership,67001:008:2320,-,"parking free parking, box-room, furniture, packet windows, parquet","electric stove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower, washing machine",central heating,,,,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Tallinna mnt 34a/1, Ülejõe, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/majakahekorruselisse-majja-paaseb-sisse-oue-poolt-3382295.html,"58.3964522,24.4938878",2,41.3 m²,1/3,,Good condition,apartment ownership,62502:028:0006,-,"new electricity, closed courtyard, terrace, separate rooms, furniture, packet windows, parquet, parking free parking",,,,,,,2781005,,,,
"Apartment for sale, 3 rooms, Soo tee 6, Vao, Järva vald, Järvamaa - Real estate portal KV.EE ","
                            Kohtutäitur Õnne Pajur avaldab teadaande täitemenetluse seadustiku (TMS) § 153 lõike 2 alusel.",https://www.kv.ee/kohtutaitur-onne-pajur-avaldab-teadaande-taitemene-3388574.html,"58.9356145,25.975137",3,52.6 m²,,,,,31403:001:0110,-,,,,,,,Data from realestate book,,Notify about incorrect advertisement,,2,
"Apartment for sale, 3 rooms, Koolitee 17, Selja, Tori vald, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/broneeritud-tori-vallas-selja-kulas-muua-3toaline-3388571.html,"58.517139,24.815381",3,66.9 m²,1/3,1984,,apartment ownership,80801:001:0014,,"balcony , new electricity, parking free parking, parquet, furnishing possibility, electricity, dressing room, basement, water, box-room, street entrance, urban water, wall cupboard",,"shower, new sewerage",central heating,Internet,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Soo tn 6a, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/kui-otsid-hubast-ruumikat-labi-kahe-korruse-paikne-3388513.html,"59.4451353,24.743161",3,90 m²,1/3,1927,Good condition,apartment ownership,78408:801:5680,-,"terrace, separate rooms, furnishing possibility, packet windows, parquet, parking free parking, box-room, wall cupboard, organisation through the few floors, TV-set","ceramic shove, refridgerator, kitchen furniture","shower, sauna, water boiler, washing machine","gas heating, heated floors, combined heating, fireplace","Internet, cable TV, frontdoor locked, neighbourhood watch",roads in good condition roads,,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, E.Vilde tee 88, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/majamaja-asub-mustamae-hinnatuimas-piirkonnas-mann-3388555.html,"59.4062337,24.6776724",2,44 m²,5/5,1967,sanitary renovation needed,apartment ownership,,,"balcony , furnishing possibility, separate rooms, basement, public transport",,"shower, bath, toilet room and bathroom separate",central heating,"Internet, frontdoor locked",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Köie 8a, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, log house",https://www.kv.ee/kas-sooviksite-elada-kalamaja-merepoolses-osas-vai-3388549.html,"59.4480322,24.7385136",2,44.7 m²,1/3,1900,renovated,apartment ownership,,Missing,"kitchen, parking free parking, box-room, wall cupboard, separate rooms, new electricity, closed courtyard, public transport, urban water, dressing room, fenced with garden, roof tin roof","electric stove, open kitchen, refridgerator","new sewerage, shower, washing machine",gas heating,"Internet, cable TV, steel door, frontdoor locked, neighbourhood watch",,Data from realestate book,,,,,
"Apartment for sale, 1 rooms, Mahla 69, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korter-korter-asub-1-korrusel-korter-on-avatud-pla-3388544.html,"59.382370882002,24.720461321765",1,17.4 m²,1/2,1961,needs renovating,apartment ownership,78404:405:0006,Missing,"parking free parking, sewerage, TV-set, urban water, furnishing possibility, furniture",electric stove,,central heating,frontdoor locked,roads paved roads,,,,,,
"Apartment for sale, 2 rooms, Majaka 12, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/harjumaa-tallinn-lasnamae-majaka-12-2-tuba-59-kort-3388540.html,"59.4286422,24.7889667",2,42.7 m²,5/9,,needs renovating,apartment ownership,,E,"balcony 3.5 m², parking free parking, closed courtyard, TV-set, separate rooms, packet windows, parquet, lift, closed balcony","gas stove, kitchen 7.5 m², refridgerator, kitchen furniture","new sewerage, bath, toilet room and bathroom separate",central heating,"Internet, cable TV, steel door, frontdoor locked","surrounding buildings apartment buildings, in the city location, roads in good condition roads, neighbours around neighbours",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Puru tee 35, Ahtme, Kohtla-Järve, Ida-Virumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/idavirumaa-kohtlajarve-ahtme-puru-tee-35-1-tuba-55-3388517.html,"59.3333237,27.4141143",1,,5/5,,needs renovating,apartment ownership,,-,"parking free parking, TV-set, packet windows",open kitchen,,central heating,"cable TV, neighbourhood watch","location in the center location, roads in good condition roads, neighbours around neighbours",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Aleksandri 17, Kesklinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, log house",https://www.kv.ee/muua-imeilus-korter-miljoovaartuslikus-piirkonnas-3388530.html,"58.3737863,26.7319288",3,80.3 m²,1/3,,renovated,apartment ownership,79507:052:0019,Missing,"kitchen, ventilation, separate entryway, new electricity, parquet, roof tin roof","ceramic shove, refridgerator",new sewerage,gas heating,,,Data from realestate book,,,,,
"Apartment for sale, Tartu tn 11, Võnnu, Kastre vald, Tartumaa - Real estate portal KV.EE ","
                            Kohtutäitur müüb avalikul elektroonilisel enampakkumisel Kohtutäiturite ja Pankrotihaldurite Koja",https://www.kv.ee/kohtutaitur-muub-avalikul-elektroonilisel-enampakk-3388512.html,,,65.3 m²,,,,,,-,,,,,,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Mustamäe tee 149, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muuja-avar-ning-valguskullane-renoveeritud-korter-3388488.html,"59.4110244,24.6920745",3,60.4 m²,7/9,,renovated,apartment ownership,,Missing,"balcony 11 m², parking free parking, packet windows, parquet, lift, closed balcony, wall cupboard, new electricity, separate entryway, TV-set, separate rooms, furniture","gas stove, kitchen 9 m², refridgerator, kitchen furniture","new sewerage, bath, washing machine",central heating,"Internet, cable TV, steel door, frontdoor locked, video cameras, neighbourhood watch",,Data from realestate book,,,65 € /  120 €,,
"Apartment for sale, 2 rooms, Narva mnt 84, Kesklinn, Tartu, Tartumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/parkimiskoht-hinna-sees-muua-vaga-hea-asukohaga-2t-3388487.html,"58.385878008137,26.72553062439",2,80.3 m²,6/6,1900,all brand-new,apartment ownership,,Missing,,,,,,,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Kooli tn, Kehtna, Kehtna vald, Raplamaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korterkorter-on-renoveeritud-2021-aastal-mille-kai-3388481.html,"58.926688,24.869497",2,38.6 m²,3/3,,,apartment ownership,,Missing,"dressing room, furniture, parquet","open kitchen, kitchen furniture","water boiler, shower",central heating,steel door,"water body lake near, surrounding buildings apartment buildings, roads paved roads",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Lehola tn 9, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/hea-pakkumine-muugile-on-tulnud-hubane-1toaline-ko-3388480.html,"59.373659,24.680693",1,29.7 m²,1/5,1974,Good condition,apartment ownership,78404:406:7180,E,"high ceilings, box-room, basement, public transport, parquet, parking free parking, closed courtyard, furnishing possibility, furniture, packet windows","electric stove, open kitchen, refridgerator, kitchen furniture","bath, toilet room and bathroom separate, new sewerage, shower","central heating, heated floors, conditioner","cable TV, steel door, frontdoor locked, neighbourhood watch",,,,,,,
"Apartment for sale, 4 rooms, Tähe tn 42, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/maja1936-a-ehitatud-miljoovaartuslik-tallinna-tuup-3387569.html,"59.3728006,24.6810605",4,77 m²,1/2,1936,Good condition,apartment ownership,78404:406:1420,Missing,"closed courtyard, separate rooms, furnishing possibility",,,,,,,,,,,
"Apartment for sale, 2 rooms, Võidu prospekt 14, Narva, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/idavirumaa-narva-voidu-prospekt-14-2-tuba-35-korte-3388471.html,"59.3741301,28.1719129",2,47.2 m²,3/5,1968,sanitary renovation needed,apartment ownership,,Missing,"packet windows, parking free parking",gas stove,"toilet room and bathroom separate, bath",central heating,"Internet, frontdoor locked",roads in good condition roads,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Pärna tn 21a, Ülejõe, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kirjelduslabimoeldud-planeeringuga-avar-2toaline-k-3366119.html,"58.3819445,26.7419121",2,43.9 m²,4/5,1965,renovated,apartment ownership,79514:025:0019,Missing,"balcony 3 m², parking free parking, box-room, wall cupboard, new electricity, furnishing possibility, furniture, packet windows, parquet","induktsioon pliit, open kitchen, refridgerator, kitchen furniture","shower, new sewerage","central heating, gas heating","Internet, cable TV, neighbourhood watch, steel door, frontdoor locked, security system","surrounding buildings private houses and apartment buildings, in the city location, Emajõgi river 500 m, roads in good condition roads, neighbours around neighbours",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Koskla tn 5, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kortermuugile-on-tulnud-avar-valguskullane-2toalin-3385874.html,"59.4267448,24.7165262",2,44.1 m²,2/5,1970,renovated,apartment ownership,78407:701:0102,D,"balcony 3 m², parking free parking, new electricity, closed courtyard, TV-set, separate rooms, furnishing possibility, furniture, packet windows, parquet, box-room","ceramic shove, open kitchen, kitchen furniture","new sewerage, shower, washing machine","heated floors, central heating","Internet, phone, cable TV, frontdoor locked, video cameras, neighbourhood watch, steel door","surrounding buildings apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours",,,,,,
"Apartment for sale, 1 rooms, Oja tn 114, Ülejõe, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-asja-renoveeritud-1toaline-korter-oja-tn-114-3388463.html,"58.3913545,24.5296105",1,28.2 m²,3/5,,renovated,apartment ownership,,Missing,"kitchen, parking free parking, separate rooms, new electricity, public transport, urban water, electricity, parquet, roof tar paper roof","ceramic shove, refridgerator","toilet room and bathroom separate, new sewerage, shower, washing machine",central heating,"Internet, cable TV, steel door, frontdoor locked",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Riia mnt 32, Eeslinn, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/hoovipoolne-korter-sissepaas-aiaga-piiratud-oueala-3388458.html,"58.38388,24.5167684",1,20.6 m²,1/2,,sanitary renovation needed,apartment ownership,,,"box-room, public transport, urban water, fenced with garden",,,stove heating,frontdoor locked,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Uusmäe põik 4, Saku, Saku vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/oled-sa-kunagi-sirvinud-sisustusajakirju-ja-moelnu-3359366.html,"59.2909326,24.6609774",2,49.8 m²,1/4,2020,all brand-new,apartment ownership,71801:001:2125,B,"parking free parking, wall cupboard, terrace, packet windows, parquet","electric stove, open kitchen, refridgerator, kitchen furniture","shower, washing machine",central heating,"Internet, phone, neighbourhood watch, steel door, frontdoor locked","neighbours around neighbours, surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Keskuse tee 11, Kõima, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/2toaline-korter-suletud-netopinnaga-36-9-m2-ii-kor-3388442.html,"58.360667,24.252931",2,36.9 m²,2/4,1994,Good condition,apartment ownership,,Missing,"sewerage, water, urban water",,,solid fuel,,,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Katariina allee 6, Võru, Võrumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/korteri-ruumijaotus-korteris-on-esik-4-5-m2-avar-e-3324371.html,"57.8466022,26.9921031",2,54.4 m²,2/2,2021,all brand-new,apartment ownership,,-,,,shower,central heating,"Internet, cable TV, frontdoor locked",Tamula lake 200 m,Data from realestate book,,,,,"balcony 2.7 m², separate rooms, high ceilings, closed courtyard, box-room"
"Apartment for sale, 2 rooms, Katariina allee 6, Võru, Võrumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/korteri-ruumijaotus-korteris-on-esik-4-3-m2-elutub-3324365.html,"57.8466022,26.9921031",2,46.1 m²,2/2,2021,all brand-new,apartment ownership,,-,,,shower,central heating,"Internet, cable TV, frontdoor locked","Tamula lake 200 m, surrounding buildings private houses and apartment buildings, in the city location, roads in good condition roads",Data from realestate book,,,,,"balcony 7 m², parking free parking, box-room, high ceilings, closed courtyard, separate rooms"
"Apartment for sale, 3 rooms, Vahtra tn 2, Narva, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/idavirumaa-narva-vahtra-tn-2-3-tuba-15-korterioman-3388437.html,,3,60.7 m²,1/5,1977,Good condition,apartment ownership,,D,"new electricity, separate rooms, furniture, packet windows, closed balcony","electric stove, refridgerator, kitchen furniture","bath, new sewerage, toilet room and bathroom separate, washing machine",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, in the city location, roads in good condition roads, neighbours around neighbours",Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Võidu prospekt 14, Narva, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kvrtirprodetsa-dvuhkomntna-kvrtir-obsei-plosdbu-47-3388433.html,"59.3741301,28.1719129",2,47.2 m²,3/5,1968,sanitary renovation needed,apartment ownership,51102:002:0035,-,"TV-set, separate rooms, packet windows",gas stove,"new sewerage, toilet room and bathroom separate, bath",central heating,"Internet, phone, cable TV, neighbourhood watch, frontdoor locked",,,,,,,
"Apartment for sale, 3 rooms, Hooldekodu tee 1, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Stone house,https://www.kv.ee/muua-suureparase-asukohaga-looduskaunis-kohas-kolm-3388424.html,"59.4525909,24.9037754",3,58 m²,1/2,,Good condition,,78403:308:0630,-,"packet windows, parquet, parking free parking, closed courtyard, furnishing possibility","electric stove, open kitchen, kitchen furniture","shower, water boiler","central heating, fireplace",frontdoor locked,"roads in good condition roads, Pirita jõgi river 150 m",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Kihnu  12, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/muua-2toaline-korter-lasnamael-kihnu-tanaval-korte-3388422.html,"59.4524205,24.861876513901",2,52.6 m²,3/5,1990,,apartment ownership,,E,,,,,,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Tüve tn 14, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/korterpaneme-muuki-oma-hea-planeeringuga-ja-suurep-3386967.html,"59.406351,24.7144071",3,64.1 m²,5/5,1979,satisfactory,apartment ownership,78407:702:2680,C,"parquet, parking free parking, box-room, roof apartment, TV-set, separate rooms, packet windows","electric stove, open kitchen","bath, shower, washing machine",central heating,"Internet, cable TV, steel door, frontdoor locked","surrounding buildings private houses and apartment buildings, in the city location, roads in good condition roads, neighbours around neighbours",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Himma, Põlva vald, Põlvamaa - Real estate portal KV.EE ",Stone house,https://www.kv.ee/siin-saad-teha-koik-oma-tahtmise-jargi-haldusettev-3388397.html,"57.983698,27.0726882",2,43 m²,2/2,,sanitary renovation needed,,,-,,,,stove heating,,"water body water body other 50 m, roads paved roads, neighbours around neighbours",Data from realestate book,,Notify about incorrect advertisement,55 € /  -,,
"Apartment for sale, 1 rooms, Papli 8a, Ropka, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Stone house,https://www.kv.ee/muugile-saabus-1toaline-keskkuttega-korter-monusas-3382273.html,"58.381709314135,26.746845716143",1,15.9 m²,1/1,1981,needs renovating,,,Missing,"urban water, electricity, new electricity, roof tin roof",electric stove,,central heating,"frontdoor locked, neighbourhood watch",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 6 rooms, Savi tn 4c, Tammelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/muua-avara-ning-privaatsust-pakkuva-planeeringuga-3385229.html,"58.3585918,26.6921914",6,252.1 m²,,2019,Good condition,private property,79504:053:0006,-,"packet windows, parquet, garage, box-room, wall cupboard, new electricity, separate entryway, closed courtyard, basement, separate rooms, furnishing possibility","electric stove, open kitchen, refridgerator, kitchen furniture","new sewerage, toilet room and bathroom separate, sauna, bath, shower, washing machine",central heating,"Internet, security system","surrounding buildings private houses and apartment buildings, roads paved roads",,,,,3,
"Apartment for sale, 1 rooms, Kotka 1, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ",Private ownership,https://www.kv.ee/harjumaa-tallinn-kristiine-kotka-1161-1-tuba-55-ki-3388389.html,"59.4235091,24.7272762",1,12 m²,5/5,,Good condition,private property,,-,"packet windows, parquet, furniture, TV-set","electric stove, open kitchen, refridgerator, kitchen furniture","water boiler, shower",central heating,"Internet, phone, frontdoor locked",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, F. R. Kreutzwaldi t, Võru, Võrumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/broneeritudjarvevaatega-korter-voru-vanalinnas-kin-3388391.html,"57.8438311,26.9972948",3,54.5 m²,5/5,1976,ready,apartment ownership,,,"balcony , electricity, separate rooms, public transport, urban water, parking free parking, water, basement","electric stove, kitchen furniture","water boiler, shower",central heating,cable TV,"surrounding buildings apartment buildings, water body lake near, location in the center location",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Võidu prospekt 14, Narva, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/prodjtsa-2-komntna-kvrtir-v-nrve-47-2-m2-35-etz-tr-3388385.html,"59.3741301,28.1719129",2,47.2 m²,3/5,1968,needs renovating,apartment ownership,,-,"separate rooms, packet windows, parking free parking",gas stove,toilet room and bathroom separate,central heating,,,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Sireli tn 16, Rummu, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/harjumaa-laaneharju-vald-rummu-sireli-tn-16-2-tuba-3365066.html,"59.2320448,24.1994659",2,41.7 m²,4/5,1986,Good condition,private property,86801:001:0072,-,,"gas stove, kitchen 6.8 m², refridgerator, kitchen furniture","water boiler, new sewerage, bath, washing machine",central heating,"Internet, phone, cable TV, frontdoor locked, video cameras","Rummu karjäär lake 650 m, location outside settlement location, roads in good condition roads",,,Notify about incorrect advertisement,,,"parking free parking, TV-set, separate rooms, furnishing possibility, furniture"
"Apartment for sale, 1 rooms, Narva mnt 122, Raadi-Kruusamäe, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/muua-hubane-mobleeritud-1toaline-korter-korter-asu-3388380.html,"58.3923397,26.731227",1,16.9 m²,2/2,,sanitary renovation done,apartment ownership,,Missing,"kitchen, electricity, public transport, urban water, parquet, ventilation, box-room, furnishing possibility, roof tin roof","stove heated with firewood, refridgerator","shower, water boiler, washing machine",stove heating,"Internet, neighbourhood watch, steel door, frontdoor locked",,Data from realestate book,,Notify about incorrect advertisement,,,
