Title,Description,Link,Location,Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Cadastre no.,Energy mark,Lisainfo,Neighbourhood,Bedrooms,Built in year,Ownership,Notify about incorrect advertisement,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Data from realestate book,Register number,Additional information,This floor/Number of floors,Kulud suvel/talvel
"House for sale, Koogi tee 1, Koogi, Jõelähtme vald, Harjumaa - Real estate portal KV.EE ",Total area 252 m²,https://www.kv.ee/id-00090teie-kone-suunatakse-omanikule-kui-helista-3389587.html,"59.441067664903,25.165781875176",430000,6,252 m²,2,renovated,,4375 m²,24504:008:0160,A,,,,2010,,,,,,,,,,,
"House for sale, Autsi, Ridala, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Private ownership, log house, total area 90 m²",https://www.kv.ee/muua-soodsalt-viie-hoonega-vana-talukoht-laimajala-3384431.html,"58.4537044426652,23.0285871195569",35000,2,90 m²,1,needs renovating,roofed box,6784 m²,,,"public transport, electricity",,,1900,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,
"House for sale, Rõuendi, Tupenurme, Muhu vald, Saaremaa - Real estate portal KV.EE ","Private ownership, total area 137 m²",https://www.kv.ee/muua-privaatne-vana-talukoht-metsamaa-ja-linnulaul-3384068.html,"58.649616760107,23.2146973714111",58000,3,137 m²,1,needs renovating,,26100 m²,47801:004:0190,,"electricity, farm building, well, 3*380V","neighbours farther neighbours, roads in good condition roads, near forest",,1900,private property,Notify about incorrect advertisement,,,,,,,,,
"House for sale, Valuoja pst, Viljandi, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 131.7 m²",https://www.kv.ee/muua-vaga-hea-asukohaga-maja-viljandis-maja-asub-v-3389582.html,"58.372526,25.5875714",149000,4,131.7 m²,2,satisfactory,ready,800.2 m²,,,"garage, well, box-room, electricity","roads in good condition roads, surrounding buildings private houses, in the city location, Paala lake",,1959,private property,Notify about incorrect advertisement,"stove heated with firewood, refridgerator, kitchen furniture","shower, water boiler, sewerage, urban water",stove heating,,,,,,
"House for sale, 3 bedrooms, Kesk-Kaare tee 23, Pärnamäe, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, house area 152.8 m², total area 177.2 m²",https://www.kv.ee/muua-hea-planeeringuga-avar-ning-valguskullane-5to-3389553.html,"59.5069847,24.8526035",355000,5,177.2 m²,2,Good condition,ready,,,-,"parking free parking, public transport, terrace, electricity, dressing room, packet windows, parquet, garage","roads in good condition roads, surrounding buildings private houses, Pärnamäe veehoidla lake 200 m",3,2005,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","bath, sauna, toilet room and bathroom separate, urban water, washing machine","central heating, heated floors, fireplace","Internet, cable TV, neighbourhood watch, fenced with garden, security system, steel door",Data from realestate book,7032902,,,50 € /  240 €
"House for sale, 2 bedrooms, Nurme tn 1a, Mõisaküla linn, Mulgi vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 67.1 m², total area 93 m²",https://www.kv.ee/muua-armas-maja-moisakulas-mulgi-vallas-viljandima-3384657.html,"58.0884142,25.1856609",44000,3,93 m²,2,,,956 m²,49001:006:0130,,"well, electricity",,2,1939,private property,Notify about incorrect advertisement,,,stove heating,,Data from realestate book,,,,
"Cottage for sale, Kaasiku küla 4, Laitse, Saue vald, Harjumaa - Real estate portal KV.EE ","Private ownership, total area 34.5 m²",https://www.kv.ee/muua-tupiktanava-lopus-asuv-suvila-kinnistu-996-m2-3389532.html,"59.197600768211,24.330577498029",28000,,34.5 m²,1,ready,,996 m²,29703:012:0041,Missing,deep well,roads paved roads,,,private property,,,local water,stove heating,,Data from realestate book,,,,
"House for sale, 2 bedrooms, Kivivõhma 32, Krei, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 89 m²",https://www.kv.ee/aadress-kivivohma-vkt-32-krei-kose-valdkrunt-928m2-3389528.html,"59.2153999,25.1346999",32000,3,89 m²,,needs renovating,ready,,33701:003:0021,,,,2,,private property,Notify about incorrect advertisement,,,,,,,,1/1,
"House for sale, 3 bedrooms, Kadaka tee 1, Vatsla, Saue vald, Harjumaa - Real estate portal KV.EE ",Wooden house,https://www.kv.ee/harjumaa-saue-vald-vatsla-kadaka-tee-1-4-tuba-1-ko-3389527.html,"59.393511,24.5310329",269000,4,,,satisfactory,ready,,72701:001:0229,Missing,"parking free parking, parquet",surrounding buildings private houses,3,2011,,,gas stove,"shower, toilet room and bathroom separate, local water","heated floors, fireplace","Internet, phone, cable TV, fenced with garden",,,,1/1,
"House for sale, 2 bedrooms, Matsi, Kalita, Saarde vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 98.8 m²",https://www.kv.ee/parnust-ca-50-km-kaugusel-asuv-paljude-voimalusteg-3389523.html,"58.356778846295,23.7646854773071",115000,3,98.8 m²,,satisfactory,ready,,,,"3*380V, electricity, farm building, well, box-room","roads paved roads, near forest, surrounding buildings private houses, location outside settlement location, water body water body other near",2,1963,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, sauna, shower, local water",stove heating,,Data from realestate book,,,2/2,
"Cottage for sale, Pääsusilma vkt 16, Päidre, Mulgi vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, house area 80.9 m², total area 80.9 m²",https://www.kv.ee/muua-erilise-arhitektuuriga-suvila-kui-hindad-stii-3389491.html,"58.2471794172931,25.5623662185659",52000,2,80.9 m²,2,,ready,1314 m²,19204:002:0060,,"terrace, electricity, parking free parking, well, basement","surrounding buildings private houses, neighbours around neighbours, near forest",,1989,private property,Notify about incorrect advertisement,stove heated with firewood,"shower, water boiler, local water",stove heating,,Data from realestate book,,,,
"Other for sale, Aadli, Hurmi, Kanepi vald, Põlvamaa - Real estate portal KV.EE ","Stone house, house area 540 m²",https://www.kv.ee/elekter-16a-uus-katusasbestivaba-eterniit-tunnusta-3157428.html,"58.0139004,26.8734255",99999,20,,3,satisfactory,box with doors and windows,6287 m²,28502:001:0040,,"parking free parking, public transport, deep well, basement, electricity, 3*380V, packet windows","Hurmi järv lake 1,000 m, roads in good condition roads, neighbours farther neighbours, near forest",,1990,,Notify about incorrect advertisement,,"urban water, sewerage","heated floors, fireplace","fenced with garden, video cameras, neighbourhood watch, steel door, security system",,2643938,,,
"House for sale, betooni, Elva linn, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 133 m²",https://www.kv.ee/kinnistul-asuv-palkmaja-on-nutikate-lahendustega-k-3389490.html,"58.2131784,26.3901699",105000,6,133 m²,2,needs renovating,,3265 m²,17101:001:1760,,"farm building, well, box-room, basement, electricity, garage",,,1948,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,
"House for sale, Talve 4, Aespa, Kohila vald, Raplamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 95 m², total area 150 m²",https://www.kv.ee/muua-1-5-kordne-majasuvila-kiisa-piirkonnas-aespa-3389489.html,"59.2055036,24.6304096",89900,4,150 m²,2,Good condition,,960 m²,31705:009:0031,,"parquet, garage, public transport, farm building, well, box-room, electricity, 3*380V, packet windows",,,2017,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, sauna, local water","solid fuel, stove heating","neighbourhood watch, fenced with garden",,,,,
"House for sale, 4 bedrooms, Tammelehe tn 17, Tammelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","House area 135 m², total area 137.8 m²",https://www.kv.ee/muua-hubane-funktsionaalne-ning-vaga-hea-ehituskva-3365794.html,"58.3516873,26.6961644",349000,6,137.8 m²,2,Good condition,ready,623 m²,,C,"box-room, terrace, dressing room",,4,2017,,Notify about incorrect advertisement,kitchen 8.1 m²,"sauna, bath, shower",gas heating,,Data from realestate book,,,,
"House for sale, 3 bedrooms, Mere tee, Pringi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/ainulaadne-voimalus-saada-kvaliteetselt-ehitatud-a-3380567.html,"59.5221277,24.8006247",1700000,4,,2,ready,,2414 m²,89001:003:1957,,"kitchen, garage, electricity, parking free parking, box-room, separate rooms, closed courtyard, farm building, parquet, dressing room, ventilation, TV-set, furnishing possibility, furniture, roof tar paper roof",,3,2003,private property,Notify about incorrect advertisement,"ceramic shove, kitchen 18.5 m², refridgerator","sauna, shower, urban water, pool","gas, combined heating, fireplace","Internet, cable TV, fenced with garden, security system, video cameras",,,,,
"House for sale, Ohtu, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/ohtu-mois-paik-kuhu-on-lihtne-tulla-kuid-kust-on-v-3361025.html,"59.2749652,24.384398",2500000,23,,3,,,,29501:011:0014,Missing,roof tiled roof,,,1769,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,
"House for sale, 4 bedrooms, Lucca, Tabasalu, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 374.2 m²",https://www.kv.ee/muuki-on-tulnud-hinnatud-tabasalu-piirkonnas-vaiks-3370488.html,"59.433814569026,24.548910370609",800000,6,374.2 m²,2,ready,,2802 m²,,,"kitchen, open kitchen, electricity, box-room, separate rooms, separate entryway, deep well, closed courtyard, garage, parquet, dressing room, ventilation, furnishing possibility, roof tin roof","near forest, water body sea near",4,2007,private property,Notify about incorrect advertisement,"electric stove, kitchen 19 m², refridgerator","sauna, shower, bath, urban water, washing machine","geothermic heating, gas, fireplace, conditioner","Internet, cable TV, fenced with garden, security system, video cameras",,,,,
"Cottage for sale, 2 bedrooms, Metsküla, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, log house, house area 55.5 m², total area 65.3 m²",https://www.kv.ee/otsite-omale-monusat-maakodu-voi-arendusprojekti-s-3376027.html,,,3,65.3 m²,,needs renovating,ready,3996 m²,,Missing,"farm building, well, box-room, electricity, parking free parking",roads in good condition roads,2,,private property,Notify about incorrect advertisement,stove heated with firewood,local water,stove heating,neighbourhood watch,Data from realestate book,,,1/1,
"Farmhouse for sale, 2 bedrooms, Metsküla, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, log house, house area 55.5 m², total area 65.3 m²",https://www.kv.ee/otsite-omale-monusat-maakodu-voi-arendusprojekti-s-3363879.html,,,3,65.3 m²,,needs renovating,ready,3996 m²,,Missing,"farm building, well, box-room, electricity, parking free parking",roads in good condition roads,2,,private property,Notify about incorrect advertisement,stove heated with firewood,local water,stove heating,neighbourhood watch,Data from realestate book,,,1/1,
"Cottage for sale, 2 bedrooms, Meloni vkt 2, Metsaääre, Saarde vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 60 m², total area 90 m²",https://www.kv.ee/suvilamuugile-on-tulnud-renoveerimist-vajav-suvila-3360416.html,"58.747846,25.7636099",70000,3,90 m²,,needs renovating,ready,,,Missing,,"location outside settlement location, roads in good condition roads, Reiu river",2,1980,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","toilet room and bathroom separate, sauna, shower, local water, sewerage","stove heating, õhksoojuspump","phone, cable TV, neighbourhood watch",Data from realestate book,1488306,"terrace, electricity, 3*380V, furnishing possibility, furniture, packet windows, parking free parking, public transport, farm building, deep well, box-room, TV-set",1/1,
"House for sale, 3 bedrooms, Paelrohu tee 53, Maardu, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 170.3 m²",https://www.kv.ee/muua-muugal-taisfunktsionaalne-eramu-okonoomse-kut-3364311.html,"59.4728078,24.922648",298500,6,170.3 m²,,Good condition,ready,,,Missing,"packet windows, furniture, parquet, public transport, well, box-room, wall cupboard, TV-set, terrace, dressing room, 3*380V","neighbours around neighbours, near forest, surrounding buildings private houses, roads in good condition roads, water body sea near",3,2009,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","toilet room and bathroom separate, sauna, water boiler, shower, urban water, sewerage, washing machine","heated floors, õhksoojuspump, fireplace","Internet, neighbourhood watch, fenced with garden",Data from realestate book,,,2/2,
"House for sale, 4 bedrooms, Erna põik 23, Suurupi, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 140 m²",https://www.kv.ee/muua-a-energiaklassi-eramu-suurupis-vaga-madalad-k-3389455.html,"59.4628413,24.4053965",395000,5,140 m²,,all brand-new,ready,,,A,"parking free parking, terrace, electricity, dressing room, packet windows, parquet","neighbours at one side neighbours, near forest, surrounding buildings private houses, roads in good condition roads",4,2020,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, shower, sauna, sewerage, urban water","heated floors, geothermic heating","Internet, phone, steel door, fenced with garden",Data from realestate book,11205502,,1/1,- /  40 €
"House for sale, Sireli tn 7, Keila, Harjumaa - Real estate portal KV.EE ",Total area 127.4 m²,https://www.kv.ee/muua-hubane-perekodu-rahulikus-keila-linnas-30minu-3389422.html,"59.3016869,24.4246541",187000,6,127.4 m²,2,Good condition,ready,608 m²,29601:013:0450,,"box-room, basement, electricity, parquet, garage, parking free parking, roof profiled roof","Keila river , surrounding buildings private houses, roads in good condition roads",,1965,,Notify about incorrect advertisement,"refridgerator, kitchen furniture","shower, water boiler, urban water, sewerage, washing machine","central heating, heated floors, fireplace","Internet, phone, fenced with garden",Data from realestate book,,,,
"House for sale, 2 bedrooms, Vana-Auda, Võhma, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 52.1 m²",https://www.kv.ee/muua-kuressaare-linnast-ca-31-km-kaugusel-vohma-ku-3389414.html,"58.511066828976,22.404286500677",29000,2,52.1 m²,1,needs renovating,,30000 m²,48301:004:0189,,"well, farm building, electricity, roof asbestos cement roof",,2,,private property,Notify about incorrect advertisement,,,stove heating,,,,,,
"Farmhouse for sale, Paekna, Kiili vald, Harjumaa - Real estate portal KV.EE ","Private ownership, log house",https://www.kv.ee/muua-privaatne-talumaja-kiili-ainukese-veekogu-pae-3365918.html,"59.2666188652337,24.8380162184359",245000,5,,1,needs renovating,,10074 m²,30401:002:0258,,"electricity, packet windows, 3*380V, public transport, farm building, well, deep well, box-room, wall fieldstone wall, roof profiled roof","Paekna lake 35 m, near forest, surrounding buildings private houses, roads in good condition roads",,1857,private property,Notify about incorrect advertisement,,,,neighbourhood watch,,9917302,,,
"House for sale, Pargi 14, Roosna-Alliku, Paide, Järvamaa - Real estate portal KV.EE ","Private ownership, stone house, total area 108.7 m²",https://www.kv.ee/muua-kivikonstruktsioonis-elamu-paariselamu-osa-ro-3389367.html,"59.03154011507,25.708425177406",49000,4,108.7 m²,,ready,,1460 m²,,Missing,,,,1975,private property,,,,,,,,,1/1,
"House for sale, Lepassaare, Võru vald, Võrumaa - Real estate portal KV.EE ","Private ownership, house area 100 m², total area 400 m²",https://www.kv.ee/lisainfo-elekter-korvalhoonedkook-puupliitsanruum-3389353.html,"57.8488343,27.2836127",34000,5,400 m²,,needs renovating,box with doors and windows,20100 m²,54701:003:092,-,"3*380V, roof asbestos cement roof",water body water body other near,,,private property,,,,,"fenced with garden, neighbourhood watch",,,,,
"House for sale, 2 bedrooms, Metsküla, Rapla vald, Raplamaa - Real estate portal KV.EE ",Wooden house,https://www.kv.ee/muua-taluhoone-4-25-ha-katastriuksuse-jagamine-toi-3389361.html,"58.8612347,24.6457736",75000,3,,1,,,42500 m²,65401:004:0201,Missing,electricity,water body river near,2,1941,,,,local water,,,Data from realestate book,,,,
"House for sale, 3 bedrooms, Metsaääre, Saarde vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 150 m²",https://www.kv.ee/suur-krunt-kivimaja-okonoomne-maakute-a-energiakla-3389183.html,"58.2737917133215,24.6434802009672",230000,4,150 m²,1,all brand-new,ready,,,A,"parking free parking, terrace, electricity, packet windows, parquet, garage, deep well, box-room","near forest, Reiu river , surrounding buildings private houses, roads paved roads",3,2022,private property,Notify about incorrect advertisement,,sewerage,"heated floors, geothermic heating, fireplace",neighbourhood watch,Data from realestate book,798806,,,
"House for sale, 4 bedrooms, Hirve tee 6, Vääna, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 115 m², total area 120 m²",https://www.kv.ee/harjumaa-harku-vald-vaana-hirve-tee-6-5-tuba-1-kor-3389338.html,"59.3856785,24.4187666",260000,5,120 m²,,all brand-new,ready,,,B,"packet windows, electricity, parquet, public transport, farm building, terrace, roof tin roof","near forest, surrounding buildings private houses, location in suburb location, roads in good condition roads, neighbours next to neighbours",4,2021,private property,Notify about incorrect advertisement,,"shower, toilet room and bathroom separate, bath, water boiler, urban water, sewerage","õhksoojuspump, heated floors","neighbourhood watch, video cameras",Data from realestate book,18490050,,1/1,60 € /  130 €
"House for sale, 4 bedrooms, Tähesaju tee 16, Väljataguse, Rapla vald, Raplamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 158.8 m², total area 161.4 m²",https://www.kv.ee/majamuugile-on-tulnud-suureparase-asukohaga-2kordn-3374114.html,"58.9899723,24.8114009",155000,5,161.4 m²,2,all brand-new,box with doors and windows,,,,"terrace, electricity, packet windows, parking free parking",,4,2021,private property,Notify about incorrect advertisement,,"sauna, toilet room and bathroom separate, shower, sewerage, urban water","õhksoojuspump, heated floors, fireplace",,Data from realestate book,,,,
"Farmhouse for sale, Saarikmetsa, Majala, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, total area 188.1 m²",https://www.kv.ee/muua-hoonestatud-kinnistu-looduskaunis-majala-kula-3389339.html,"58.247766886315,26.330365468061",110000,4,188.1 m²,,ready,,17475.9 m²,,Missing,,,,,private property,,,,,,Data from realestate book,,,1/1,
"House for sale, Vankri  tee, Kakumetsa, Luunja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 162.7 m²",https://www.kv.ee/alustasime-muugiprotsessiga-eramutele-mis-valmivad-3294029.html,,,4,162.7 m²,1,all brand-new,ready,1602 m²,,,"terrace, packet windows, parquet, garage, electricity","surrounding buildings private houses, location in the center location, roads in good condition roads",,2022,private property,Notify about incorrect advertisement,,"shower, sauna, sewerage, urban water","heated floors, geothermic heating",,,,,,
"House for sale, 4 bedrooms, Vana-Rannamõisa tee 12a, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 132.6 m²",https://www.kv.ee/muua-hubane-kahekorruseline-palkmaja-haaberstis-ma-3389312.html,"59.4368371,24.6044733",390000,5,132.6 m²,2,,,2159 m²,,Missing,"kitchen, open kitchen, separate entryway, electricity, furniture, separate rooms, closed courtyard, public transport, roof tin roof",water body sea near,4,2001,private property,,ceramic shove,"bath, urban water","õhksoojuspump, heated floors, fireplace",fenced with garden,,,,,
"House for sale, Palupera, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 65 m²",https://www.kv.ee/atsi-talu-on-muugiks-0-8ha-suurusel-krundil-mis-on-3389299.html,,,4,65 m²,1,sanitary renovation needed,ready,8253 m²,,,"well, garage, electricity, public transport, farm building, wall wooden wall, roof asbestos cement roof",roads in good condition roads,,1938,private property,Notify about incorrect advertisement,stove heated with firewood,sauna,stove heating,,Data from realestate book,,,,
"House for sale, 3 bedrooms, Kibuvitsa tee 7, Karla, Rae vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 158 m², total area 158 m²",https://www.kv.ee/muugile-on-tulnud-tallinnast-vaid-15-km-kaugusel-j-3388871.html,"59.3650316,24.9154802",343000,4,158 m²,2,Good condition,ready,,,-,"balcony 30 m², garage, packet windows, parquet, wall cupboard, terrace, electricity, dressing room, 3*380V, furnishing possibility, roof profiled roof","water body: väike tiik 15 m, surrounding buildings private houses, roads in good condition roads, neighbours around neighbours",3,2007,private property,Notify about incorrect advertisement,,"shower, bath, sauna, sewerage, urban water","heated floors, geothermic heating","Internet, phone, cable TV, fenced with garden, security system",Data from realestate book,9597302,,,
"House for sale, 4 bedrooms, Pedeli 2, Valga linn, Valga vald, Valgamaa - Real estate portal KV.EE ","Wooden house, total area 105.3 m²",https://www.kv.ee/muua-hasti-sailinud-ja-tanapaevaste-kommunikatsioo-3389246.html,"57.7803297,26.0460794",122000,5,105.3 m²,1,sanitary renovation needed,,1908 m²,85401:003:0100,,"farm building, box-room, closed courtyard, roof tin roof",water body river near,4,1932,,Notify about incorrect advertisement,ceramic shove,"sauna, toilet room and bathroom separate, shower, urban water","stove heating, geothermic heating","fenced with garden, neighbourhood watch",,,,,
"House for sale, 3 bedrooms, Põllu tn 9, Paldiski linn, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 212 m²",https://www.kv.ee/ehita-omale-uus-kena-kodu-nb-selle-objektiga-tegel-3251039.html,"59.3576433,24.061181",62200,4,212 m²,2,,foundation,1260 m²,,-,"parking free parking, terrace, electricity, 3*380V, garage",,3,,private property,,,"sauna, toilet room and bathroom separate, shower, bath, urban water, sewerage","heated floors, solid fuel",fenced with garden,,,,,
"House for sale, 3 bedrooms, Põlluveere tee, Leppneeme, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 366.1 m²",https://www.kv.ee/muua-eksklusiivne-oma-merepiiri-ja-merevaatega-vil-3389217.html,"59.548664,24.8638569",1950000,5,366.1 m²,3,all brand-new,,5662 m²,,,"balcony , kitchen, parking free parking, high ceilings, garage, 3*380V, dressing room, ventilation, furnishing possibility, parquet",,3,2021,private property,Notify about incorrect advertisement,"electric stove, refridgerator","toilet room and bathroom separate, bath, pool, urban water, washing machine","geothermic heating, fireplace, conditioner","Internet, fenced with garden, video cameras, security system, steel door, neighbourhood watch",,,,,
"House for sale, Veskikaare 17, Tammiste, Tori vald, Pärnumaa - Real estate portal KV.EE ","Stone house, total area 205.4 m²",https://www.kv.ee/muua-2korruseline-pooleliolev-majakarp-tammistes-t-3389216.html,"58.3906427,24.5793398",150000,6,205.4 m²,2,,,1472 m²,73001:008:1370,Missing,roof tin roof,near forest,,2008,,,,urban water,"heated floors, geothermic heating",steel door,Data from realestate book,,,,
"House for sale, 3 bedrooms, Lootuse pst 78, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Stone house, total area 147.8 m²",https://www.kv.ee/hetkel-broneeritud-kuni-06-12-2021-a-kui-soovid-el-3389195.html,"59.3753406,24.6895452",435000,4,147.8 m²,2,renovated,,,,E,"kitchen, closed courtyard, public transport, high ceilings, separate entryway, separate rooms, wall cupboard, TV-set, furniture, parquet, dressing room, ventilation, box-room, parking free parking, roof tar paper roof",,3,2011,,,"induktsioon pliit, kitchen 9 m², refridgerator","water boiler, toilet room and bathroom separate, shower, sauna, bath, urban water, washing machine","gas heating, fireplace, gas, fireplace, conditioner, conditioner","Internet, cable TV, steel door, fenced with garden, security system",Data from realestate book,,,,
"House for sale, Hänike, Võru vald, Võrumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 57.6 m²",https://www.kv.ee/muua-vaga-hea-asukoha-ja-juurdepaasuga-elamu-voru-3389156.html,"57.8312396,26.7588972",24900,,57.6 m²,,needs renovating,,8518 m²,91701:001:0632,Missing,roof asbestos cement roof,,,1924,private property,,,,stove heating,,Data from realestate book,,,,
"House for sale, Tallinna mnt 4, Lihula linn, Lääneranna vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 174.8 m²",https://www.kv.ee/lihula-kesklinnas-muuakse-koos-kolm-hoonestatud-el-3389149.html,"58.690036463411,23.835870960075",77000,7,174.8 m²,2,sanitary renovation needed,,639 m²,41201:002:0031,Missing,"parking free parking, separate entryway, water, garage, electricity, high ceilings, farm building, wall cupboard, basement, roof asbestos cement roof",in the city location,,,private property,,ceramic shove,"toilet room and bathroom separate, water boiler, bath, sewerage, urban water","õhksoojuspump, stove heating, fireplace, fireplace",fenced with garden,,,,,
"Cottage for sale, 6 bedrooms, Vanakõrtsi, Hirvli, Kuusalu vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 123.7 m²",https://www.kv.ee/privaatne-kodu-keset-rohelust-eemal-linnakarast-mu-3389128.html,"59.4401423,25.5197814",120000,7,123.7 m²,1,needs renovating,,31500 m²,,,"kitchen, electricity, parquet, box-room, separate rooms, furnishing possibility, furniture, roof asbestos cement roof",near forest,6,1898,private property,Notify about incorrect advertisement,"stove heated with firewood, refridgerator",local water,solid fuel,fenced with garden,,,,,
"House for sale, Õitse 42, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 620.5 m²",https://www.kv.ee/muua-ainulaadne-juugendstiili-parl-nommel-villa-sc-3389108.html,"59.3764026,24.6309642",815000,15,620.5 m²,5,needs renovating,,4282 m²,,Missing,"garret, public transport, garage, 3*380V, high ceilings, frontdoor locked, roof tiled roof",,,1922,private property,,,"sauna, urban water",solid fuel,neighbourhood watch,,,,,
"House for sale, Seltsimaja, Mahtra, Rapla vald, Raplamaa - Real estate portal KV.EE ","Private ownership, stone house, total area 481 m²",https://www.kv.ee/kinnistul-asub-seltsimaja-hoone-esmane-kasutuselev-3389100.html,"59.0993214026702,25.0145218264282",156000,,481 m²,3,Good condition,ready,2865 m²,24005:001:0080,,"deep well, electricity","location in the center location, roads in good condition roads",,1958,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, shower, sewerage","combined heating, fireplace",,Data from realestate book,,,,
"House for sale, Pihtla tee 36, Kuressaare linn, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Wooden house, house area 82.7 m², total area 103 m²",https://www.kv.ee/muua-vana-maja-ilusas-tanavas-kuressaare-linnas-so-3389085.html,"58.2543636597733,22.5147145883606",74000,4,103 m²,1,needs renovating,,1831 m²,34901:001:0085,-,"public transport, farm building, well","roads in good condition roads, surrounding buildings private houses",,,,,,,stove heating,neighbourhood watch,Data from realestate book,,,,
"House for sale, 3 bedrooms, Raja talu, Nõmmküla, Muhu vald, Saaremaa - Real estate portal KV.EE ","Private ownership, stone house, total area 134 m²",https://www.kv.ee/suureparase-asukohaga-armas-suvekoht-kaunil-muhu-s-3345826.html,"58.6763918570503,23.1967057644697",120000,4,134 m²,,,,5939 m²,47801:003:0252,-,,"roads in good condition roads, near forest, water body sea near",3,,private property,,"electric stove, refridgerator","sauna, local water",õhksoojuspump,neighbourhood watch,Data from realestate book,,"packet windows, garage, farm building, well, box-room, electricity, 3*380V, furnishing possibility",,
"House for sale, 3 bedrooms, Laadi tee 15, Uulu, Häädemeeste vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 100.9 m², total area 122.4 m²",https://www.kv.ee/sinu-moodne-kodu-linnalahedal-maal-2019-aastal-tai-3389078.html,"58.2790203,24.5815667",179000,4,122.4 m²,1,all brand-new,ready,,,-,"parking free parking, box-room, wall cupboard, terrace, electricity, dressing room, packet windows, parquet, garage","surrounding buildings private houses, roads in good condition roads, location in suburb location, near forest, neighbours next to neighbours, Pärnu laht sea 1.2 km",3,2007,private property,Notify about incorrect advertisement,"induktsioon pliit, refridgerator, kitchen furniture","toilet room and bathroom separate, shower, sauna, urban water, sewerage, washing machine","õhksoojuspump, heated floors","Internet, cable TV, video cameras, security system, steel door, neighbourhood watch",Data from realestate book,,,,40 € /  90 €
"Farmhouse for sale, Kadjaste, Põhja-Pärnumaa vald, Pärnumaa - Real estate portal KV.EE ",Total area 1.2 ha,https://www.kv.ee/kadjaste-kulas-pohjaparnumaal-on-muua-teeaarne-kin-3351526.html,"58.6586308,25.154502",22410,,12000 m²,,,,12000 m²,93002:004:0105,-,"deep well, electricity",roads in good condition roads,,,,Notify about incorrect advertisement,,,,,Data from realestate book,,,,
