,Title,Description,Link,Location,Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Cadastre no.,Energy mark,Lisainfo,Neighbourhood,Bedrooms,Built in year,Ownership,Notify about incorrect advertisement,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Data from realestate book,Register number,Additional information,This floor/Number of floors,Kulud suvel/talvel,population
384,"House for sale, 4 bedrooms, Loogi, Enge, Põhja-Pärnumaa vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 242.9 m²",https://www.kv.ee/parnust-ca-30-km-kaugusel-muua-heas-korras-oma-aut-3389839.html,"58.647601288669,24.555512280298",164000.0,5.0,242.9 m²,2.0,renovated,,42400 m²,,,"new sewerage, kitchen, deep well, public transport, farm building, garage, 3*380V, box-room, separate rooms, frontdoor locked, roof asbestos cement roof",near forest,4.0,1988.0,private property,Notify about incorrect advertisement,"electric stove, refridgerator","shower, sauna, water boiler, washing machine","combined heating, conditioner",steel door,Data from realestate book,,,,,11.0
385,"House for sale, Kanarbiku, Müüriku, Väike-Maarja vald, Lääne-Virumaa - Real estate portal KV.EE ","Private ownership, log house, house area 64 m²",https://www.kv.ee/pakkuda-vaikemaarja-lahedal-muuriku-kulas-1934a-eh-3371984.html,"59.1296171,26.2513552",33500.0,4.0,,2.0,renovated,box with doors and windows,3506 m²,92702:001:0210,,"electricity, well, wall wooden wall, roof asbestos cement roof","roads in good condition roads, neighbours next to neighbours, Äntu järved lake , surrounding buildings private houses",,1934.0,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,,1100.0
386,"House for sale, 4 bedrooms, Kullerkupu tn 1c, Keila, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 215.6 m², total area 319.1 m²",https://www.kv.ee/keila-linna-terviseradade-lahedal-on-pakkuda-avara-3389797.html,"59.3231851,24.3872423",189900.0,5.0,319.1 m²,2.0,all brand-new,roofed box,,,B,,,4.0,2011.0,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,,10.0
387,"House for sale, 3 bedrooms, Kõivuharu tn, Tõrvandi, Kambja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 155 m²",https://www.kv.ee/muua-2022-aasta-maikuus-valmiv-uus-kivimaja-labi-m-3389794.html,"58.3187009,26.7090839",279000.0,4.0,155 m²,,all brand-new,ready,,,A,"terrace, packet windows, parquet",,3.0,2022.0,private property,Notify about incorrect advertisement,electric stove,"shower, sauna, urban water, sewerage",heated floors,fenced with garden,Data from realestate book,16819650.0,,1/1,,593.0
388,"House for sale, 3 bedrooms, Seedri tee, Karla, Rae vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 245.1 m²",https://www.kv.ee/majamuugile-on-tulnud-uhe-kordne-4toaline-maja-loo-3376544.html,"59.3660797,24.9152735",445000.0,4.0,245.1 m²,,renovated,ready,1890 m²,,,"parking free parking, furnishing possibility, furniture, packet windows, parquet, garage, box-room, TV-set, terrace, electricity, dressing room","location in suburb location, roads in good condition roads, surrounding buildings private houses",3.0,,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","shower, sauna, water boiler, urban water, sewerage",õhksoojuspump,"Internet, phone, cable TV, steel door, video cameras, fenced with garden",Data from realestate book,,,1/1,,88.0
389,"House for sale, Mäe, Kildu, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, log house, total area 78.6 m²",https://www.kv.ee/muua-vaarikas-rehielamu-tuupi-maja-viljandimaal-po-3382319.html,"58.487516126319,25.413080353883",24400.0,3.0,78.6 m²,1.0,needs renovating,,6938 m²,61501:001:0056,,"separate rooms, well, electricity, roof asbestos cement roof","water body lake near, near forest",,1901.0,private property,Notify about incorrect advertisement,stove heated with firewood,"bath, local water",stove heating,,,,,,,4.0
390,"House for sale, 4 bedrooms, Ellerheina 25, Randvere, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 441 m²",https://www.kv.ee/viimsis-randvere-kula-korgete-puude-all-pesitseb-4-3389780.html,"59.496158204386,24.919861312172",698000.0,7.0,441 m²,2.0,ready,,2637 m²,,,"balcony , parquet, garage, furnishing possibility, furniture, electricity, dressing room, public transport, high ceilings, closed courtyard, separate rooms, water",,4.0,2007.0,private property,,kitchen furniture,"sauna, water boiler, bath, toilet room and bathroom separate, shower, washing machine, sewerage, pool, urban water","õhksoojuspump, fireplace",fenced with garden,,,,,,77.0
391,"House for sale, 2 bedrooms, Võidu tn 21, Avinurme, Mustvee vald, Jõgevamaa - Real estate portal KV.EE ","Private ownership, stone house, total area 131 m²",https://www.kv.ee/muugis-on-asfalttee-lahistel-paiknev-ja-hea-juurde-3384684.html,"58.9875307,26.8733172",69000.0,3.0,131 m²,,sanitary renovation done,ready,,,H,"farm building, box-room, TV-set, electricity, 3*380V, packet windows","surrounding buildings private houses, roads in good condition roads, neighbours around neighbours",2.0,1970.0,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","water boiler, shower, urban water, sewerage","solid fuel, central heating","Internet, phone, cable TV",Data from realestate book,1617308.0,,1/1,,173.0
392,"House for sale, Pastaku, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 204 m²",https://www.kv.ee/muua-elvast-8-kilomeetri-kaugusel-elvahellenurme-t-3220209.html,,,5.0,204 m²,,needs renovating,ready,21000 m²,,Missing,,"surrounding buildings private houses, location outside settlement location, roads in good condition roads, neighbours at one side neighbours",,,private property,,stove heated with firewood,"sauna, local water",stove heating,"Internet, phone, neighbourhood watch",,,"farm building, well",2/2,,0.0
393,"House for sale, 5 bedrooms, Kangru tee 11, Lubja, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 188.4 m²",https://www.kv.ee/see-on-kodu-kuhu-naasmist-sa-iga-toopaeva-loppedes-3389276.html,"59.509575758052,24.850895457703",580000.0,6.0,188.4 m²,2.0,all brand-new,,1178 m²,,,"open kitchen, parking free parking, electricity, parquet, dressing room, ventilation, separate rooms, new electricity, public transport, garage, roof tar paper roof",water body sea near,5.0,2021.0,private property,Notify about incorrect advertisement,,"bath, sauna, shower, water boiler, urban water",,fenced with garden,Data from realestate book,,,,,216.0
394,"House for sale, 5 bedrooms, Põhjaristi pst 20, Muraste, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 203.6 m², total area 274 m²",https://www.kv.ee/pakkuda-maja-suuremale-perele-harku-vallas-muraste-3389737.html,"59.4590046,24.4644375",490000.0,6.0,274 m²,2.0,all brand-new,ready,,,,"parking free parking, dressing room, 3*380V, furnishing possibility, furniture, packet windows, parquet, garage, box-room, wall cupboard, TV-set, terrace, electricity","neighbours around neighbours, surrounding buildings private houses, water body sea 500 m, roads in good condition roads",5.0,2010.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","water boiler, sauna, bath, shower, urban water, sewerage, washing machine","heated floors, combined heating","Internet, phone, cable TV, security system, fenced with garden, steel door",Data from realestate book,,,,70 € /  200 €,75.0
395,"House for sale, Metsa tn 17, Lihula linn, Lääneranna vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 67.7 m²",https://www.kv.ee/majalihula-linnas-laaneranna-vallas-vaikse-tupikta-3285116.html,"58.6848705,23.847529",50000.0,3.0,67.7 m²,1.0,sanitary renovation needed,ready,1452 m²,,,"parking free parking, farm building, well, basement, electricity","surrounding buildings private houses, near forest, location in the center location, roads in good condition roads, neighbours next to neighbours",,1958.0,private property,Notify about incorrect advertisement,"stove heated with firewood, kitchen 9.1 m²",,stove heating,"fenced with garden, neighbourhood watch",Data from realestate book,,,,,9.0
396,"House for sale, 3 bedrooms, Uus-Veeriku tee  1, Ihaste, Tartu, Tartumaa - Real estate portal KV.EE ",Total area 233 m²,https://www.kv.ee/muua-kvaliteetne-maja-hinnatud-ihaste-piirkonnasma-3389708.html,"58.3561544,26.7956207",349000.0,4.0,233 m²,1.0,all brand-new,ready,1675 m²,,,,,3.0,2006.0,,Notify about incorrect advertisement,,,,,Data from realestate book,,,,,318.0
397,"House for sale, 3 bedrooms, Nurmiku tee 8, Papsaare, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 107.7 m²",https://www.kv.ee/uus-pakkumine-muuki-on-lisandunud-valguskullane-ko-3389693.html,"58.4026984,24.4282922",195000.0,4.0,107.7 m²,,all brand-new,ready,,,A,"public transport, terrace, electricity, packet windows, parquet, parking free parking","surrounding buildings private houses, location in suburb location, roads in good condition roads, near forest",3.0,2021.0,private property,Notify about incorrect advertisement,,"sauna, toilet room and bathroom separate, urban water","heated floors, geothermic heating",,Data from realestate book,2805106.0,,1/1,,42.0
398,"House for sale, Aasa tn 15, Ülejõe, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, total area 84.1 m²",https://www.kv.ee/muua-maja-ulejoel-tupiktanavas-kinnistu-suurusega-3389687.html,"58.396087,24.493051",95000.0,3.0,84.1 m²,2.0,Good condition,,669 m²,62502:028:5750,,"water, farm building",,,1963.0,private property,Notify about incorrect advertisement,stove heated with firewood,urban water,,,Data from realestate book,,,,,2426.0
399,"House for sale, 2 bedrooms, Ritsika 8, Vääna-Jõesuu, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, log house, house area 120 m², total area 162 m²",https://www.kv.ee/muua-uus-eksklusiivne-palkmaja-vaanajoesuus-majama-3250227.html,"85.0516180586825,180.009215305327",195995.0,3.0,162 m²,1.0,all brand-new,ready,,,-,"parking free parking, public transport, terrace, electricity","water body river near, surrounding buildings private houses, near forest, roads in good condition roads, neighbours next to neighbours",2.0,2020.0,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, shower, toilet room and bathroom separate, urban water","heated floors, stove heating, fireplace","Internet, fenced with garden",Data from realestate book,,,,,0.0
400,"House for sale, 3 bedrooms, Saarekese 8-1, Veeriku, Tartu, Tartumaa - Real estate portal KV.EE ",Total area 105.2 m²,https://www.kv.ee/kas-sinul-on-soov-elada-linna-lahedal-looduse-kesk-3389645.html,"58.3537892,26.6514438",202000.0,,105.2 m²,2.0,all brand-new,ready,,28301:001:0398,A,,,3.0,2021.0,,,,,,,,,,,,39.0
401,"House for sale, 3 bedrooms, Saarekese 6-1, Veeriku, Tartu, Tartumaa - Real estate portal KV.EE ",Total area 105.2 m²,https://www.kv.ee/kas-sinul-on-soov-elada-linna-lahedal-looduse-kesk-3389643.html,"58.3537892,26.6514438",202000.0,4.0,105.2 m²,2.0,all brand-new,ready,,28301:001:0399,,,,3.0,2021.0,,Notify about incorrect advertisement,,,,,,,,,,39.0
402,"Farmhouse for sale, Uljaste, Vinni vald, Lääne-Virumaa - Real estate portal KV.EE ","Private ownership, house area 91 m², total area 2.7 ha",https://www.kv.ee/muua-suur-2-9-ha-suurune-krunt-uljaste-kulas-vinni-3337121.html,"59.3402782025623,26.767244173256",23000.0,,27222 m²,1.0,,,27222 m²,90101:001:1027,-,"farm building, well","location outside settlement location, roads in good condition roads, water body: tiik , neighbours farther neighbours, near forest, surrounding buildings private houses",,,private property,,,local water,,,Data from realestate book,2213831.0,,,,4.0
403,"House for sale, Järise, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","House area 117 m², total area 117 m²",https://www.kv.ee/muua-vana-talukoht-jarise-kulas-saaremaal-tegemist-3355961.html,"58.5055739562112,22.4444075836059",31300.0,,117 m²,2.0,needs renovating,,13048 m²,48301:004:0001,-,farm building,"Järise lake 1.8 km, near forest, neighbours at one side neighbours",,1924.0,,,,,,,,1161034.0,,,,4.0
404,"House for sale, Pada, Viru-Nigula vald, Lääne-Virumaa - Real estate portal KV.EE ","Total area 3,800 m²",https://www.kv.ee/muua-kunagise-vaarika-pada-moisa-juurde-kuulunud-k-3386341.html,"59.4234269506802,26.709149176967",18900.0,,3800 m²,,,,3800 m²,90301:001:0002,-,,"Pada river , near forest, roads in good condition roads, neighbours next to neighbours",,,,Notify about incorrect advertisement,,,,,Data from realestate book,14602250.0,,,,18.0
405,"House for sale, 2 bedrooms, Sarve, Karinõmme, Lääneranna vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, log house, house area 90 m², total area 220 m²",https://www.kv.ee/uut-pererahvast-ootab-avar-rehielamu-privaatses-as-3379986.html,"58.6177751,23.9742163",85000.0,3.0,220 m²,1.0,satisfactory,ready,,,-,"packet windows, parking free parking, deep well, box-room, terrace, electricity, 3*380V","location outside settlement location, roads in satisfactory condition roads, neighbours farther neighbours, near forest",2.0,1922.0,private property,Notify about incorrect advertisement,"stove heated with firewood, refridgerator, kitchen furniture","water boiler, sauna, shower, local water, sewerage","heated floors, õhksoojuspump, stove heating",,Data from realestate book,2385406.0,,,,4.0
406,"House for sale, 4 bedrooms, Ristiku 31, Variku, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 129 m²",https://www.kv.ee/uuenduskolmapaeval-24-novembril-toimus-2-korruse-l-3389596.html,"58.3493122,26.7093069",297000.0,5.0,129 m²,2.0,all brand-new,,1146 m²,,,"balcony , parking free parking, box-room",,4.0,2022.0,apartment ownership,Notify about incorrect advertisement,"electric stove, kitchen 7.3 m²",,õhksoojuspump,,Data from realestate book,,,,,3698.0
407,"House for sale, Koogi tee 1, Koogi, Jõelähtme vald, Harjumaa - Real estate portal KV.EE ",Total area 252 m²,https://www.kv.ee/id-00090teie-kone-suunatakse-omanikule-kui-helista-3389587.html,"59.441067664903,25.165781875176",430000.0,6.0,252 m²,2.0,renovated,,4375 m²,24504:008:0160,A,,,,2010.0,,,,,,,,,,,,24.0
408,"House for sale, Autsi, Ridala, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Private ownership, log house, total area 90 m²",https://www.kv.ee/muua-soodsalt-viie-hoonega-vana-talukoht-laimajala-3384431.html,"58.4537044426652,23.0285871195569",35000.0,2.0,90 m²,1.0,needs renovating,roofed box,6784 m²,,,"public transport, electricity",,,1900.0,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,,23.0
409,"House for sale, Rõuendi, Tupenurme, Muhu vald, Saaremaa - Real estate portal KV.EE ","Private ownership, total area 137 m²",https://www.kv.ee/muua-privaatne-vana-talukoht-metsamaa-ja-linnulaul-3384068.html,"58.649616760107,23.2146973714111",58000.0,3.0,137 m²,1.0,needs renovating,,26100 m²,47801:004:0190,,"electricity, farm building, well, 3*380V","neighbours farther neighbours, roads in good condition roads, near forest",,1900.0,private property,Notify about incorrect advertisement,,,,,,,,,,4.0
410,"House for sale, Valuoja pst, Viljandi, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 131.7 m²",https://www.kv.ee/muua-vaga-hea-asukohaga-maja-viljandis-maja-asub-v-3389582.html,"58.372526,25.5875714",149000.0,4.0,131.7 m²,2.0,satisfactory,ready,800.2 m²,,,"garage, well, box-room, electricity","roads in good condition roads, surrounding buildings private houses, in the city location, Paala lake",,1959.0,private property,Notify about incorrect advertisement,"stove heated with firewood, refridgerator, kitchen furniture","shower, water boiler, sewerage, urban water",stove heating,,,,,,,2794.0
411,"House for sale, 3 bedrooms, Kesk-Kaare tee 23, Pärnamäe, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, house area 152.8 m², total area 177.2 m²",https://www.kv.ee/muua-hea-planeeringuga-avar-ning-valguskullane-5to-3389553.html,"59.5069847,24.8526035",355000.0,5.0,177.2 m²,2.0,Good condition,ready,,,-,"parking free parking, public transport, terrace, electricity, dressing room, packet windows, parquet, garage","roads in good condition roads, surrounding buildings private houses, Pärnamäe veehoidla lake 200 m",3.0,2005.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","bath, sauna, toilet room and bathroom separate, urban water, washing machine","central heating, heated floors, fireplace","Internet, cable TV, neighbourhood watch, fenced with garden, security system, steel door",Data from realestate book,7032902.0,,,50 € /  240 €,663.0
412,"House for sale, 2 bedrooms, Nurme tn 1a, Mõisaküla linn, Mulgi vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 67.1 m², total area 93 m²",https://www.kv.ee/muua-armas-maja-moisakulas-mulgi-vallas-viljandima-3384657.html,"58.0884142,25.1856609",44000.0,3.0,93 m²,2.0,,,956 m²,49001:006:0130,,"well, electricity",,2.0,1939.0,private property,Notify about incorrect advertisement,,,stove heating,,Data from realestate book,,,,,421.0
413,"Cottage for sale, Kaasiku küla 4, Laitse, Saue vald, Harjumaa - Real estate portal KV.EE ","Private ownership, total area 34.5 m²",https://www.kv.ee/muua-tupiktanava-lopus-asuv-suvila-kinnistu-996-m2-3389532.html,"59.197600768211,24.330577498029",28000.0,,34.5 m²,1.0,ready,,996 m²,29703:012:0041,Missing,deep well,roads paved roads,,,private property,,,local water,stove heating,,Data from realestate book,,,,,18.0
414,"House for sale, 2 bedrooms, Kivivõhma 32, Krei, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 89 m²",https://www.kv.ee/aadress-kivivohma-vkt-32-krei-kose-valdkrunt-928m2-3389528.html,"59.2153999,25.1346999",32000.0,3.0,89 m²,,needs renovating,ready,,33701:003:0021,,,,2.0,,private property,Notify about incorrect advertisement,,,,,,,,1/1,,35.0
415,"House for sale, 3 bedrooms, Kadaka tee 1, Vatsla, Saue vald, Harjumaa - Real estate portal KV.EE ",Wooden house,https://www.kv.ee/harjumaa-saue-vald-vatsla-kadaka-tee-1-4-tuba-1-ko-3389527.html,"59.393511,24.5310329",269000.0,4.0,,,satisfactory,ready,,72701:001:0229,Missing,"parking free parking, parquet",surrounding buildings private houses,3.0,2011.0,,,gas stove,"shower, toilet room and bathroom separate, local water","heated floors, fireplace","Internet, phone, cable TV, fenced with garden",,,,1/1,,177.0
416,"House for sale, 2 bedrooms, Matsi, Kalita, Saarde vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 98.8 m²",https://www.kv.ee/parnust-ca-50-km-kaugusel-asuv-paljude-voimalusteg-3389523.html,"58.356778846295,23.7646854773071",115000.0,3.0,98.8 m²,,satisfactory,ready,,,,"3*380V, electricity, farm building, well, box-room","roads paved roads, near forest, surrounding buildings private houses, location outside settlement location, water body water body other near",2.0,1963.0,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, sauna, shower, local water",stove heating,,Data from realestate book,,,2/2,,4.0
417,"Cottage for sale, Pääsusilma vkt 16, Päidre, Mulgi vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, house area 80.9 m², total area 80.9 m²",https://www.kv.ee/muua-erilise-arhitektuuriga-suvila-kui-hindad-stii-3389491.html,"58.2471794172931,25.5623662185659",52000.0,2.0,80.9 m²,2.0,,ready,1314 m²,19204:002:0060,,"terrace, electricity, parking free parking, well, basement","surrounding buildings private houses, neighbours around neighbours, near forest",,1989.0,private property,Notify about incorrect advertisement,stove heated with firewood,"shower, water boiler, local water",stove heating,,Data from realestate book,,,,,4.0
418,"Other for sale, Aadli, Hurmi, Kanepi vald, Põlvamaa - Real estate portal KV.EE ","Stone house, house area 540 m²",https://www.kv.ee/elekter-16a-uus-katusasbestivaba-eterniit-tunnusta-3157428.html,"58.0139004,26.8734255",99999.0,20.0,,3.0,satisfactory,box with doors and windows,6287 m²,28502:001:0040,,"parking free parking, public transport, deep well, basement, electricity, 3*380V, packet windows","Hurmi järv lake 1,000 m, roads in good condition roads, neighbours farther neighbours, near forest",,1990.0,,Notify about incorrect advertisement,,"urban water, sewerage","heated floors, fireplace","fenced with garden, video cameras, neighbourhood watch, steel door, security system",,2643938.0,,,,4.0
419,"House for sale, betooni, Elva linn, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 133 m²",https://www.kv.ee/kinnistul-asuv-palkmaja-on-nutikate-lahendustega-k-3389490.html,"58.2131784,26.3901699",105000.0,6.0,133 m²,2.0,needs renovating,,3265 m²,17101:001:1760,,"farm building, well, box-room, basement, electricity, garage",,,1948.0,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,,60.0
420,"House for sale, Talve 4, Aespa, Kohila vald, Raplamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 95 m², total area 150 m²",https://www.kv.ee/muua-1-5-kordne-majasuvila-kiisa-piirkonnas-aespa-3389489.html,"59.2055036,24.6304096",89900.0,4.0,150 m²,2.0,Good condition,,960 m²,31705:009:0031,,"parquet, garage, public transport, farm building, well, box-room, electricity, 3*380V, packet windows",,,2017.0,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, sauna, local water","solid fuel, stove heating","neighbourhood watch, fenced with garden",,,,,,59.0
421,"House for sale, 4 bedrooms, Tammelehe tn 17, Tammelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","House area 135 m², total area 137.8 m²",https://www.kv.ee/muua-hubane-funktsionaalne-ning-vaga-hea-ehituskva-3365794.html,"58.3516873,26.6961644",349000.0,6.0,137.8 m²,2.0,Good condition,ready,623 m²,,C,"box-room, terrace, dressing room",,4.0,2017.0,,Notify about incorrect advertisement,kitchen 8.1 m²,"sauna, bath, shower",gas heating,,Data from realestate book,,,,,2636.0
422,"House for sale, 3 bedrooms, Mere tee, Pringi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/ainulaadne-voimalus-saada-kvaliteetselt-ehitatud-a-3380567.html,"59.5221277,24.8006247",1700000.0,4.0,,2.0,ready,,2414 m²,89001:003:1957,,"kitchen, garage, electricity, parking free parking, box-room, separate rooms, closed courtyard, farm building, parquet, dressing room, ventilation, TV-set, furnishing possibility, furniture, roof tar paper roof",,3.0,2003.0,private property,Notify about incorrect advertisement,"ceramic shove, kitchen 18.5 m², refridgerator","sauna, shower, urban water, pool","gas, combined heating, fireplace","Internet, cable TV, fenced with garden, security system, video cameras",,,,,,250.0
423,"House for sale, Ohtu, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/ohtu-mois-paik-kuhu-on-lihtne-tulla-kuid-kust-on-v-3361025.html,"59.2749652,24.384398",2500000.0,23.0,,3.0,,,,29501:011:0014,Missing,roof tiled roof,,,1769.0,private property,Notify about incorrect advertisement,,,,,Data from realestate book,,,,,6.0
424,"House for sale, 4 bedrooms, Lucca, Tabasalu, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 374.2 m²",https://www.kv.ee/muuki-on-tulnud-hinnatud-tabasalu-piirkonnas-vaiks-3370488.html,"59.433814569026,24.548910370609",800000.0,6.0,374.2 m²,2.0,ready,,2802 m²,,,"kitchen, open kitchen, electricity, box-room, separate rooms, separate entryway, deep well, closed courtyard, garage, parquet, dressing room, ventilation, furnishing possibility, roof tin roof","near forest, water body sea near",4.0,2007.0,private property,Notify about incorrect advertisement,"electric stove, kitchen 19 m², refridgerator","sauna, shower, bath, urban water, washing machine","geothermic heating, gas, fireplace, conditioner","Internet, cable TV, fenced with garden, security system, video cameras",,,,,,603.0
425,"Cottage for sale, 2 bedrooms, Metsküla, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, log house, house area 55.5 m², total area 65.3 m²",https://www.kv.ee/otsite-omale-monusat-maakodu-voi-arendusprojekti-s-3376027.html,,,3.0,65.3 m²,,needs renovating,ready,3996 m²,,Missing,"farm building, well, box-room, electricity, parking free parking",roads in good condition roads,2.0,,private property,Notify about incorrect advertisement,stove heated with firewood,local water,stove heating,neighbourhood watch,Data from realestate book,,,1/1,,0.0
426,"Farmhouse for sale, 2 bedrooms, Metsküla, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, log house, house area 55.5 m², total area 65.3 m²",https://www.kv.ee/otsite-omale-monusat-maakodu-voi-arendusprojekti-s-3363879.html,,,3.0,65.3 m²,,needs renovating,ready,3996 m²,,Missing,"farm building, well, box-room, electricity, parking free parking",roads in good condition roads,2.0,,private property,Notify about incorrect advertisement,stove heated with firewood,local water,stove heating,neighbourhood watch,Data from realestate book,,,1/1,,0.0
427,"Cottage for sale, 2 bedrooms, Meloni vkt 2, Metsaääre, Saarde vald, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 60 m², total area 90 m²",https://www.kv.ee/suvilamuugile-on-tulnud-renoveerimist-vajav-suvila-3360416.html,"58.747846,25.7636099",70000.0,3.0,90 m²,,needs renovating,ready,,,Missing,,"location outside settlement location, roads in good condition roads, Reiu river",2.0,1980.0,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","toilet room and bathroom separate, sauna, shower, local water, sewerage","stove heating, õhksoojuspump","phone, cable TV, neighbourhood watch",Data from realestate book,1488306.0,"terrace, electricity, 3*380V, furnishing possibility, furniture, packet windows, parking free parking, public transport, farm building, deep well, box-room, TV-set",1/1,,4.0
428,"House for sale, 3 bedrooms, Paelrohu tee 53, Maardu, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 170.3 m²",https://www.kv.ee/muua-muugal-taisfunktsionaalne-eramu-okonoomse-kut-3364311.html,"59.4728078,24.922648",298500.0,6.0,170.3 m²,,Good condition,ready,,,Missing,"packet windows, furniture, parquet, public transport, well, box-room, wall cupboard, TV-set, terrace, dressing room, 3*380V","neighbours around neighbours, near forest, surrounding buildings private houses, roads in good condition roads, water body sea near",3.0,2009.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","toilet room and bathroom separate, sauna, water boiler, shower, urban water, sewerage, washing machine","heated floors, õhksoojuspump, fireplace","Internet, neighbourhood watch, fenced with garden",Data from realestate book,,,2/2,,385.0
429,"House for sale, 4 bedrooms, Erna põik 23, Suurupi, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 140 m²",https://www.kv.ee/muua-a-energiaklassi-eramu-suurupis-vaga-madalad-k-3389455.html,"59.4628413,24.4053965",395000.0,5.0,140 m²,,all brand-new,ready,,,A,"parking free parking, terrace, electricity, dressing room, packet windows, parquet","neighbours at one side neighbours, near forest, surrounding buildings private houses, roads in good condition roads",4.0,2020.0,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, shower, sauna, sewerage, urban water","heated floors, geothermic heating","Internet, phone, steel door, fenced with garden",Data from realestate book,11205502.0,,1/1,- /  40 €,95.0
430,"House for sale, Sireli tn 7, Keila, Harjumaa - Real estate portal KV.EE ",Total area 127.4 m²,https://www.kv.ee/muua-hubane-perekodu-rahulikus-keila-linnas-30minu-3389422.html,"59.3016869,24.4246541",187000.0,6.0,127.4 m²,2.0,Good condition,ready,608 m²,29601:013:0450,,"box-room, basement, electricity, parquet, garage, parking free parking, roof profiled roof","Keila river , surrounding buildings private houses, roads in good condition roads",,1965.0,,Notify about incorrect advertisement,"refridgerator, kitchen furniture","shower, water boiler, urban water, sewerage, washing machine","central heating, heated floors, fireplace","Internet, phone, fenced with garden",Data from realestate book,,,,,241.0
431,"House for sale, 2 bedrooms, Vana-Auda, Võhma, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 52.1 m²",https://www.kv.ee/muua-kuressaare-linnast-ca-31-km-kaugusel-vohma-ku-3389414.html,"58.511066828976,22.404286500677",29000.0,2.0,52.1 m²,1.0,needs renovating,,30000 m²,48301:004:0189,,"well, farm building, electricity, roof asbestos cement roof",,2.0,,private property,Notify about incorrect advertisement,,,stove heating,,,,,,,4.0
